,fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,censtate,cencty,fips,cbp_total_employees,cbp_total_establishments
0,1,1,------,G,11510,G,99870,G,385755,867,412,200,112,92,38,10,N,N,N,N,N,N,N,63,1,1001,11510,867
320,1,3,------,G,67084,G,552323,G,2372699,5644,2989,1135,772,524,141,66,11,5,N,N,N,N,N,63,3,1003,67084,5644
1176,1,5,------,G,6893,G,63112,G,244053,449,255,99,55,22,9,5,N,N,N,N,N,N,N,63,5,1005,6893,449
1365,1,7,------,H,3951,H,38760,H,164198,285,152,64,31,27,5,3,N,N,N,N,N,N,N,63,7,1007,3951,285
1517,1,9,------,G,6825,G,55660,G,236163,695,380,152,88,52,20,N,N,N,N,N,N,N,N,63,9,1009,6825,695
1794,1,11,------,J,2061,J,15870,J,66391,113,59,23,18,7,N,N,N,N,N,N,N,N,N,63,11,1011,2061,113
1853,1,13,------,G,6203,G,50028,G,206829,421,202,99,60,33,14,11,N,N,N,N,N,N,N,63,13,1013,6203,421
2031,1,15,------,G,36752,G,331849,G,1327096,2245,1035,506,321,239,91,34,16,N,N,N,N,N,N,63,15,1015,36752,2245
2593,1,17,------,G,7118,G,62129,G,251642,550,303,99,79,40,19,7,3,N,N,N,N,N,N,63,17,1017,7118,550
2800,1,19,------,G,4570,G,33936,G,137295,388,215,83,47,30,5,6,N,N,N,N,N,N,N,63,19,1019,4570,388
2966,1,21,------,H,7905,H,69720,H,293499,782,469,150,87,52,15,5,3,N,N,N,N,N,N,63,21,1021,7905,782
3257,1,23,------,G,3006,H,40422,H,159117,256,151,55,28,15,4,N,N,N,N,N,N,N,N,63,23,1023,3006,256
3382,1,25,------,G,6429,G,58102,G,236312,592,304,141,75,55,7,9,N,N,N,N,N,N,N,63,25,1025,6429,592
3620,1,27,------,G,3609,H,30444,H,125900,189,109,40,24,8,N,N,3,N,N,N,N,N,N,63,27,1027,3609,189
3717,1,29,------,G,1669,G,15320,G,67131,173,100,42,17,9,3,N,N,N,N,N,N,N,N,63,29,1029,1669,173
3805,1,31,------,G,13792,G,113006,G,470663,966,485,208,137,99,18,11,6,N,N,N,N,N,N,63,31,1031,13792,966
4137,1,33,------,G,24190,G,238884,G,987788,1231,586,281,172,117,43,18,7,4,3,N,N,N,N,63,33,1033,24190,1231
4554,1,35,------,G,2679,H,22578,G,90895,194,92,50,25,15,6,6,N,N,N,N,N,N,N,63,35,1035,2679,194
4646,1,37,------,G,1085,G,10531,G,42629,95,66,13,7,5,N,N,N,N,N,N,N,N,N,63,37,1037,1085,95
4698,1,39,------,G,10218,G,88976,G,363447,807,419,193,98,66,18,9,3,N,N,N,N,N,N,63,39,1039,10218,807
5002,1,41,------,G,3117,G,27905,G,120892,207,117,38,29,11,5,6,N,N,N,N,N,N,N,63,41,1041,3117,207
5095,1,43,------,G,25889,G,238449,G,984392,1761,860,409,230,171,49,30,9,N,N,N,N,N,N,63,43,1043,25889,1761
5606,1,45,------,G,10951,H,139122,H,559484,698,354,148,105,59,18,10,3,N,N,N,N,N,N,63,45,1045,10951,698
5873,1,47,------,G,10030,G,102892,G,384616,673,345,152,97,48,12,12,6,N,N,N,N,N,N,63,47,1047,10030,673
6140,1,49,------,G,18973,G,163536,G,669489,1102,545,233,149,111,32,18,11,3,N,N,N,N,N,63,49,1049,18973,1102
6511,1,51,------,G,14884,G,131393,G,515861,1200,690,232,151,90,17,9,8,N,N,N,N,N,N,63,51,1051,14884,1200
6901,1,53,------,G,10006,G,92525,G,366389,741,362,173,112,70,9,8,6,N,N,N,N,N,N,63,53,1053,10006,741
7192,1,55,------,G,30302,G,257136,G,1069240,1917,900,411,291,199,75,27,10,N,N,N,N,N,N,63,55,1055,30302,1917
7716,1,57,------,G,3177,G,26616,G,105988,281,137,76,44,15,3,5,N,N,N,N,N,N,N,63,57,1057,3177,281
7859,1,59,------,H,10718,H,90175,H,387272,520,260,124,63,46,13,9,3,N,N,N,N,N,N,63,59,1059,10718,520
8073,1,61,------,G,3909,G,28979,G,127228,406,254,76,47,18,7,N,N,N,N,N,N,N,N,63,61,1061,3909,406
8251,1,63,------,G,1369,H,11790,H,49911,97,56,18,8,10,N,3,N,N,N,N,N,N,N,63,63,1063,1369,97
8301,1,65,------,H,1906,H,19632,H,75684,185,101,47,20,12,3,N,N,N,N,N,N,N,N,63,65,1065,1906,185
8401,1,67,------,H,3509,J,72294,J,242850,285,153,62,43,21,4,N,N,N,N,N,N,N,N,63,67,1067,3509,285
8549,1,69,------,G,45246,G,411874,G,1776768,2701,1195,593,440,312,97,47,12,N,3,N,N,N,N,63,69,1069,45246,2701
