,fips,cbp_total_employees,cbp_total_establishments
0,1001,11510,867
320,1003,67084,5644
1176,1005,6893,449
1365,1007,3951,285
1517,1009,6825,695
1794,1011,2061,113
1853,1013,6203,421
2031,1015,36752,2245
2593,1017,7118,550
2800,1019,4570,388
2966,1021,7905,782
3257,1023,3006,256
3382,1025,6429,592
3620,1027,3609,189
3717,1029,1669,173
3805,1031,13792,966
4137,1033,24190,1231
4554,1035,2679,194
4646,1037,1085,95
4698,1039,10218,807
5002,1041,3117,207
5095,1043,25889,1761
5606,1045,10951,698
5873,1047,10030,673
6140,1049,18973,1102
6511,1051,14884,1200
6901,1053,10006,741
7192,1055,30302,1917
7716,1057,3177,281
7859,1059,10718,520
8073,1061,3909,406
8251,1063,1369,97
8301,1065,1906,185
8401,1067,3509,285
8549,1069,45246,2701
9191,1071,13101,833
9495,1073,334197,16498
10709,1075,3185,247
10825,1077,26623,1966
11333,1079,3568,416
11494,1081,48188,2952
12166,1083,18202,1423
12575,1085,1765,108
12630,1087,4922,197
12726,1089,173625,8539
13677,1091,6281,454
13879,1093,8491,548
14101,1095,34461,1859
14594,1097,154973,8755
15694,1099,5394,392
15870,1101,105054,5528
16756,1103,45554,2604
17399,1105,1536,111
17461,1107,2756,254
17576,1109,12108,652
17837,1111,3825,341
17986,1113,11116,808
18256,1115,18076,1330
18678,1117,85296,5338
19547,1119,2899,194
19643,1121,25477,1250
20046,1123,10487,777
20337,1125,80583,4087
21118,1127,14857,1214
21493,1129,5614,208
21584,1131,2133,164
21674,1133,6856,442
21879,1999,65871,526
22048,2013,2064,60
22095,2016,3454,116
22157,2020,144931,8763
23166,2050,2422,217
23278,2060,358,96
23322,2068,1018,119
23380,2070,1178,109
23441,2090,27029,2515
24103,2100,658,137
24176,2105,261,86
24225,2110,11097,1130
24663,2122,15060,2216
25273,2130,4557,609
25532,2150,5057,474
25739,2158,650,74
25784,2164,313,50
25821,2170,19923,2398
26440,2180,2198,178
26528,2185,4744,153
26614,2188,1822,68
26644,2195,903,161
26715,2198,1013,172
26829,2220,3010,367
27008,2230,338,116
27064,2240,1277,162
27154,2261,2595,496
27353,2275,484,96
27401,2282,121,27
27409,2290,340,95
27476,2999,6096,139
27535,4001,6240,453
27749,4003,26186,2136
28316,4005,55692,3744
29073,4007,11231,1014
29423,4009,7535,521
29665,4011,3509,76
29708,4012,3737,337
29854,4013,1796017,97970
31529,4015,45840,3907
32254,4017,19469,1791
32747,4019,331057,20400
33985,4021,53795,3827
34733,4023,11432,1133
35111,4025,62017,6002
35991,4027,45290,3113
36659,4999,135594,739
36864,5001,9152,484
37078,5003,5359,372
37261,5005,13624,1045
37623,5007,122863,6834
38526,5009,11799,849
38853,5011,2472,247
38961,5013,406,57
38989,5015,8382,688
39258,5017,1939,199
39384,5019,6868,533
39587,5021,2353,275
39744,5023,5679,578
39976,5025,608,71
40016,5027,7142,543
40270,5029,4732,410
40434,5031,45244,2547
41052,5033,15019,1072
41435,5035,13738,858
41732,5037,3820,361
41896,5039,2400,184
41968,5041,3339,291
42115,5043,5031,402
42288,5045,36425,2673
42897,5047,3605,289
43041,5049,1500,168
43137,5051,35253,2765
43795,5053,3522,273
43915,5055,15456,778
44206,5057,6038,382
44397,5059,5916,495
44621,5061,6003,268
44734,5063,15779,787
45036,5065,2091,207
45152,5067,3738,310
45297,5069,19351,1264
45695,5071,7345,390
45869,5073,682,106
45935,5075,2993,283
46083,5077,925,119
46158,5079,1478,154
46235,5081,2677,174
46322,5083,3821,382
46503,5085,11619,1056
