,zip,cbp_total_employees,cbp_total_establishments
0,501,41,3
1,1001,9559,473
2,1002,8410,543
3,1003,247,17
4,1004,203,13
5,1005,1060,91
6,1007,1794,225
7,1008,215,20
8,1009,131,16
9,1010,422,83
10,1011,29,12
11,1012,56,9
12,1013,5342,313
13,1020,8998,545
14,1021,202,6
15,1022,2377,63
16,1026,344,20
17,1027,4007,423
18,1028,8697,519
19,1029,202,17
20,1030,1087,221
21,1031,74,20
22,1032,116,25
23,1033,802,130
24,1034,102,30
25,1035,5495,311
26,1036,962,116
27,1037,271,17
28,1038,1437,63
29,1039,295,33
30,1040,17314,852
31,1041,955,24
32,1050,198,31
33,1053,1692,30
34,1054,73,34
35,1056,4548,414
36,1057,796,138
37,1059,68,7
38,1060,11955,731
39,1061,100,19
40,1062,1779,206
41,1063,3111,3
42,1066,75,8
43,1068,68,30
44,1069,3388,249
45,1070,26,10
46,1071,77,19
47,1072,70,22
48,1073,1158,130
49,1074,55,8
50,1075,4783,312
51,1077,2172,216
52,1079,54,12
53,1080,386,43
54,1081,91,18
55,1082,1975,171
56,1083,228,37
57,1084,27,4
58,1085,13840,859
59,1086,811,15
60,1088,302,30
61,1089,15650,952
62,1090,111,21
63,1092,79,16
64,1093,690,33
65,1095,3953,289
66,1096,366,51
67,1098,114,19
68,1101,179,13
69,1102,2834,17
70,1103,8144,425
71,1104,15983,508
72,1105,6582,271
73,1106,3762,274
74,1107,2506,148
75,1108,2269,251
76,1109,7724,291
77,1111,3432,7
78,1115,794,40
79,1118,1391,132
80,1119,3868,145
81,1128,854,46
82,1129,1936,150
83,1138,18,4
84,1144,1320,49
85,1151,2170,137
86,1199,6920,6
87,1201,23386,1250
88,1202,330,26
89,1220,1467,155
90,1222,44,15
91,1223,247,44
92,1224,15,4
93,1225,380,51
94,1226,1331,118
95,1227,40,6
96,1229,10,4
97,1230,4729,411
98,1235,129,44
99,1236,405,45
100,1237,1450,101
101,1238,2861,267
102,1240,3478,250
103,1242,124,13
104,1243,35,7
105,1244,70,4
106,1245,117,18
107,1247,4121,320
108,1252,4,6
109,1253,129,31
110,1254,75,25
111,1255,114,22
112,1256,23,8
113,1257,1089,118
114,1258,406,30
115,1259,125,26
116,1260,534,11
117,1262,1480,82
118,1266,120,46
119,1267,3414,199
120,1270,30,10
121,1301,8351,556
122,1302,218,14
123,1330,110,27
124,1331,3231,209
125,1337,454,49
126,1338,104,13
127,1339,290,27
128,1340,127,19
129,1341,114,22
130,1342,846,31
131,1344,317,22
132,1346,8,7
133,1349,43,9
134,1351,101,31
135,1354,337,19
136,1355,101,15
137,1360,762,45
138,1364,1155,130
139,1366,54,28
140,1367,77,7
141,1368,21,6
142,1370,624,122
143,1373,3075,143
144,1375,690,47
145,1376,1575,103
146,1378,6,5
147,1379,24,11
148,1420,11171,748
149,1430,567,87
150,1431,196,58
151,1432,3967,233
152,1434,3530,78
153,1436,506,29
154,1438,222,20
155,1440,6814,409
156,1441,758,10
157,1450,1877,223
158,1451,813,147
159,1452,288,53
160,1453,19113,1155
161,1460,8178,324
162,1462,2107,218
163,1463,1321,217
164,1464,1360,124
165,1467,29,7
166,1468,300,57
167,1469,1425,130
168,1471,344,3
169,1472,180,8
170,1473,1438,178
171,1474,95,27
172,1475,1131,135
173,1501,11215,617
174,1503,482,103
175,1504,794,136
176,1505,1228,129
177,1506,189,44
178,1507,2981,263
179,1508,320,25
180,1509,10,5
181,1510,3702,257
182,1515,365,47
183,1516,660,126
184,1518,710,74
185,1519,1418,105
186,1520,3031,276
187,1521,70,23
188,1522,109,34
189,1523,2381,135
190,1524,1356,116
191,1525,162,20
192,1526,39,12
193,1527,4151,329
194,1529,121,35
195,1531,39,16
196,1532,8261,534
197,1534,873,72
198,1535,841,85
199,1536,2118,160
200,1537,902,76
201,1538,90,12
202,1540,4835,227
203,1541,959,72
204,1542,544,37
205,1543,1162,127
206,1545,13027,824
207,1550,5064,322
208,1560,315,60
209,1561,418,20
210,1562,2563,205
211,1564,2456,202
212,1566,3538,246
213,1568,729,158
214,1569,3494,283
215,1570,7271,367
216,1571,2750,167
217,1581,29017,985
218,1583,3934,242
219,1585,779,82
220,1588,3255,234
221,1590,2429,186
222,1601,523,9
223,1602,2817,318
224,1603,6792,404
225,1604,9546,726
226,1605,23203,596
227,1606,9214,442
228,1607,3639,139
229,1608,15401,512
230,1609,11138,540
231,1610,9673,346
232,1611,306,33
233,1612,848,75
234,1613,186,17
235,1615,759,10
236,1653,1985,5
237,1655,118,8
238,1701,25881,1207
239,1702,13277,938
240,1703,9,4
241,1704,17,5
242,1705,7,5
243,1719,4245,141
244,1720,8724,716
245,1721,4646,398
246,1730,19665,544
247,1731,226,26
248,1740,1115,130
249,1741,597,115
250,1742,11033,800
251,1745,126,15
252,1746,5299,394
253,1747,2174,170
254,1748,14948,474
255,1749,8628,544
256,1752,38246,1528
257,1754,2800,275
258,1756,1200,152
259,1757,17168,903
260,1760,21954,1322
261,1770,570,102
262,1772,8564,360
263,1773,1524,140
264,1775,1135,155
265,1776,5503,546
266,1778,3543,363
267,1784,36,3
268,1801,45798,2122
269,1803,42772,1521
270,1805,4974,12
271,1810,31660,1041
272,1821,16267,714
273,1824,20588,847
274,1826,5443,566
275,1827,168,55
276,1830,6784,505
277,1831,167,16
278,1832,4982,313
279,1833,1935,205
280,1834,1032,128
281,1835,5840,300
282,1840,4965,360
283,1841,6133,454
284,1842,200,18
285,1843,12028,516
286,1844,16224,937
287,1845,17816,929
288,1850,1508,114
289,1851,12768,512
290,1852,10456,753
291,1853,353,16
292,1854,7347,308
293,1860,746,90
294,1862,9745,406
295,1863,3137,229
296,1864,8546,533
297,1865,2,3
298,1866,502,5
299,1867,7268,539
300,1876,15855,724
301,1879,3923,310
302,1880,15259,933
303,1885,20,8
304,1886,11040,644
305,1887,22828,865
306,1888,235,14
307,1890,7424,572
308,1901,6457,309
309,1902,3889,517
310,1903,56,7
311,1904,2805,322
312,1905,4440,398
313,1906,10470,800
314,1907,2827,324
315,1908,265,44
316,1910,2889,18
317,1913,4415,453
318,1915,22860,1273
319,1921,801,152
320,1922,673,64
321,1923,33700,1132
322,1929,1126,150
323,1930,9751,887
324,1931,84,10
325,1936,81,11
326,1937,52,5
327,1938,5172,390
328,1940,5526,407
329,1944,1327,186
330,1945,4234,573
331,1949,4100,347
332,1950,10937,765
333,1951,536,81
334,1952,2947,287
335,1960,22801,1476
336,1961,296,12
337,1965,457,8
338,1966,556,182
339,1969,3217,225
340,1970,16015,1198
341,1982,944,142
342,1983,1916,226
343,1984,1628,80
344,1985,550,79
345,2018,23,4
346,2019,6805,435
347,2020,241,11
348,2021,22621,964
349,2025,2574,285
350,2026,14526,940
351,2027,541,15
352,2030,460,120
353,2032,2139,120
354,2035,14502,643
355,2038,14856,851
356,2041,21,7
357,2043,18943,890
358,2045,1076,169
359,2048,11111,610
360,2050,4799,541
361,2051,51,9
362,2052,2558,325
363,2053,3026,323
364,2054,1643,203
365,2056,2285,243
366,2060,99,7
367,2061,10645,619
368,2062,25675,1266
369,2065,12,4
370,2066,2800,373
371,2067,2789,374
372,2070,29,5
373,2071,103,17
374,2072,12702,935
375,2081,7020,619
376,2090,15331,515
377,2093,5916,438
378,2108,21749,1125
379,2109,37776,1398
380,2110,61741,1914
381,2111,35413,1069
382,2112,95,8
383,2113,2261,186
384,2114,44312,724
385,2115,65942,646
386,2116,69423,2096
387,2117,2618,14
388,2118,21931,926
389,2119,7598,438
390,2120,4122,177
391,2121,1944,213
392,2122,8227,551
393,2123,123,4
394,2124,6533,559
395,2125,11017,488
396,2126,2059,233
397,2127,11276,688
398,2128,25532,851
399,2129,13220,536
400,2130,14811,672
401,2131,5841,451
402,2132,6134,526
403,2133,45,9
404,2134,9324,556
405,2135,15007,673
406,2136,5375,450
407,2137,94,8
408,2138,50403,1150
409,2139,53397,1221
410,2140,9728,514
411,2141,13088,417
412,2142,27213,604
413,2143,11661,659
414,2144,5177,444
415,2145,6566,457
416,2148,13047,1052
417,2149,11405,811
418,2150,12970,739
419,2151,7931,861
420,2152,1515,270
421,2153,212,8
422,2155,19868,1142
423,2156,38,3
424,2163,542,38
425,2169,27017,1554
426,2170,1703,273
427,2171,12457,405
428,2176,5103,529
429,2180,6895,608
430,2184,29996,1564
431,2185,297,13
432,2186,5332,465
433,2187,17,3
434,2188,3846,289
435,2189,8338,412
436,2190,8589,401
437,2191,1146,135
438,2196,36,7
439,2199,20126,303
440,2201,32,3
441,2203,36,7
442,2205,115,13
443,2210,54803,1102
444,2215,56614,541
445,2222,23,8
446,2238,2068,20
447,2269,1438,16
448,2283,66,4
449,2301,25767,1395
450,2302,7550,420
451,2303,728,10
452,2322,5289,231
453,2324,6369,512
454,2327,36,8
455,2330,1579,201
456,2331,136,31
457,2332,2396,333
458,2333,2279,267
459,2334,231,25
460,2338,1004,115
461,2339,8125,641
462,2341,1435,194
463,2343,2669,273
464,2345,333,18
465,2346,7147,563
466,2347,3180,299
467,2351,3839,353
468,2355,22,6
469,2356,3102,276
470,2357,1458,7
471,2358,50,6
472,2359,6497,537
473,2360,24642,1617
474,2361,111,8
475,2362,99,9
476,2364,5094,400
477,2366,60,8
478,2367,1454,67
479,2368,8559,641
480,2370,7066,495
481,2375,6885,399
