index,stop_id,stop_name,lat,lon,station_id
0,L06,1 Av,40.730953,-73.981628,0-1 Av
1,624,103 St,40.7906,-73.947478,1-103 St
2,A18,103 St,40.796092,-73.961454,2-103 St
3,119,103 St,40.799446,-73.968379,3-103 St
4,706,103 St - Corona Plaza,40.749865,-73.8627,4-103 St - Corona Plaza
5,J14,104 St,40.695178,-73.84433,5-104 St
6,A63,104 St,40.681711,-73.837683,6-104 St
7,623,110 St,40.79502,-73.94425,7-110 St
8,705,111 St,40.75173,-73.855334,8-111 St
9,J13,111 St,40.697418,-73.836345,9-111 St
10,A64,111 St,40.684331,-73.832163,10-111 St
11,226,116 St,40.802098,-73.949625,11-116 St
12,A16,116 St,40.805085,-73.954882,12-116 St
13,622,116 St,40.798629,-73.941617,13-116 St
14,117,116 St - Columbia University,40.807722,-73.96411,14-116 St - Columbia University
15,J12,121 St,40.700492,-73.828294,15-121 St
16,621,125 St,40.804138,-73.937594,16-125 St
17,225,125 St,40.807754,-73.945495,17-125 St
18,A15,125 St,40.811109,-73.952343,18-125 St
19,116,125 St,40.815581,-73.958372,19-125 St
20,224,135 St,40.814229,-73.94077,20-135 St
21,A14,135 St,40.817894,-73.947649,21-135 St
22,115,137 St - City College,40.822008,-73.953676,22-137 St - City College
23,416,138 St - Grand Concourse,40.813224,-73.929849,23-138 St - Grand Concourse
24,132,14 St,40.737826,-74.000201,24-14 St
25,A31,14 St,40.740893,-74.00169,25-14 St
26,D19,14 St,40.738228,-73.996209,26-14 St
27,635,14 St - Union Sq,40.734673,-73.989951,27-14 St - Union Sq
28,R20,14 St - Union Sq,40.735736,-73.990568,27-14 St - Union Sq
29,A12,145 St,40.824783,-73.944216,28-145 St
30,302,145 St,40.820421,-73.936245,29-145 St
31,D13,145 St,40.824783,-73.944216,30-145 St
32,114,145 St,40.826551,-73.95036,31-145 St
33,222,149 St - Grand Concourse,40.81841,-73.926718,32-149 St - Grand Concourse
34,415,149 St - Grand Concourse,40.818375,-73.927351,32-149 St - Grand Concourse
35,F25,15 St - Prospect Park,40.660365,-73.979493,33-15 St - Prospect Park
36,D12,155 St,40.830135,-73.938209,34-155 St
37,A11,155 St,40.830518,-73.941514,35-155 St
38,113,157 St,40.834041,-73.94489,36-157 St
39,414,161 St - Yankee Stadium,40.827994,-73.925831,37-161 St - Yankee Stadium
40,D11,161 St - Yankee Stadium,40.827905,-73.925651,37-161 St - Yankee Stadium
41,A10,163 St - Amsterdam Av,40.836013,-73.939892,38-163 St - Amsterdam Av
42,D10,167 St,40.833771,-73.91844,39-167 St
43,413,167 St,40.835537,-73.9214,40-167 St
44,A09,168 St,40.840719,-73.939561,41-168 St
45,112,168 St - Washington Hts,40.840556,-73.940133,42-168 St - Washington Hts
46,F02,169 St,40.71047,-73.793604,43-169 St
47,412,170 St,40.840075,-73.917791,44-170 St
48,D09,170 St,40.839306,-73.9134,45-170 St
49,215,174 St,40.837288,-73.887734,46-174 St
50,D08,174-175 Sts,40.8459,-73.910136,47-174-175 Sts
51,A07,175 St,40.847391,-73.939704,48-175 St
52,410,176 St,40.84848,-73.911794,49-176 St
53,B19,18 Av,40.607954,-74.001736,50-18 Av
54,F30,18 Av,40.629755,-73.976971,51-18 Av
55,N05,18 Av,40.620671,-73.990414,52-18 Av
56,131,18 St,40.74104,-73.997871,53-18 St
57,A06,181 St,40.851695,-73.937969,54-181 St
58,111,181 St,40.849505,-73.933596,55-181 St
59,D06,182-183 Sts,40.856093,-73.900741,56-182-183 Sts
60,408,183 St,40.858407,-73.903879,57-183 St
61,A05,190 St,40.859022,-73.93418,58-190 St
62,110,191 St,40.855225,-73.929412,59-191 St
63,F14,2 Av,40.723402,-73.989938,60-2 Av
64,B20,20 Av,40.604556,-73.998168,61-20 Av
65,N06,20 Av,40.61741,-73.985026,62-20 Av
66,108,207 St,40.864621,-73.918822,63-207 St
67,G24,21 St,40.744065,-73.949724,64-21 St
68,B04,21 St - Queensbridge,40.754203,-73.942836,65-21 St - Queensbridge
69,107,215 St,40.869444,-73.915279,66-215 St
70,207,219 St,40.883895,-73.862633,67-219 St
71,206,225 St,40.888022,-73.860341,68-225 St
72,A30,23 St,40.745906,-73.998041,69-23 St
73,R19,23 St,40.741303,-73.989344,70-23 St
74,130,23 St,40.744081,-73.995657,71-23 St
75,634,23 St,40.739864,-73.986599,72-23 St
76,D18,23 St,40.742878,-73.992821,73-23 St
77,104,231 St,40.878856,-73.904834,74-231 St
78,205,233 St,40.893193,-73.857473,75-233 St
79,103,238 St,40.884667,-73.90087,76-238 St
80,B22,25 Av,40.597704,-73.986829,77-25 Av
81,R35,25 St,40.660397,-73.998091,78-25 St
82,R18,28 St,40.745494,-73.988691,79-28 St
83,129,28 St,40.747215,-73.993365,80-28 St
84,633,28 St,40.74307,-73.984264,81-28 St
85,L05,3 Av,40.732849,-73.986122,82-3 Av
86,619,3 Av - 138 St,40.810476,-73.926138,83-3 Av - 138 St
87,221,3 Av - 149 St,40.816109,-73.917757,84-3 Av - 149 St
88,R04,30 Av,40.766779,-73.921479,85-30 Av
89,716,33 St,40.744587,-73.930997,86-33 St
90,632,33 St,40.746081,-73.982076,87-33 St
91,726,34 St - 11 Av,40.755882,-74.00191,88-34 St - 11 Av
92,D17,34 St - Herald Sq,40.749719,-73.987823,89-34 St - Herald Sq
93,R17,34 St - Herald Sq,40.749567,-73.98795,89-34 St - Herald Sq
94,128,34 St - Penn Station,40.750373,-73.991057,90-34 St - Penn Station
95,A28,34 St - Penn Station,40.752287,-73.993391,91-34 St - Penn Station
96,R06,36 Av,40.756804,-73.929575,92-36 Av
97,R36,36 St,40.655144,-74.003549,93-36 St
98,G20,36 St,40.752039,-73.928781,94-36 St
