total_count,from_stop,to_stop,transit_time,transit_weight
501,101,103,1.52,3.03
514,103,101,1.5,2.92
517,103,104,1.5,2.9
514,104,103,3.16,6.15
517,104,106,1.5,2.9
514,106,104,1.5,2.92
517,106,107,1.5,2.9
514,107,106,1.53,2.98
517,107,108,1,1.93
519,108,107,1.5,2.89
517,108,109,1.58,3.06
519,109,108,1.5,2.89
517,109,110,1.5,2.9
519,110,109,1.14,2.2
517,110,111,1.5,2.9
519,111,110,1.5,2.89
517,111,112,2.08,4.02
519,112,111,2,3.85
517,112,113,1.52,2.94
519,113,112,1.59,3.06
517,113,114,2,3.87
519,114,113,2,3.85
517,114,115,1.61,3.11
519,115,114,1.5,2.89
523,115,116,1.53,2.93
523,116,115,2,3.82
523,116,117,2.47,4.72
523,117,116,2.29,4.38
523,117,118,1,1.91
523,118,117,1,1.91
523,118,119,1.03,1.97
523,119,118,1.5,2.87
523,119,120,2,3.82
523,120,119,1.5,2.87
576,120,121,2,3.47
732,120,123,2.97,4.06
785,120,227,4.37,5.57
581,121,120,1.84,3.17
576,121,122,1.03,1.79
581,122,121,1.21,2.08
576,122,123,1.5,2.6
727,123,120,2.95,4.06
581,123,122,1.8,3.1
576,123,124,1.5,2.6
732,123,127,4.45,6.08
581,124,123,1.05,1.81
576,124,125,1.5,2.6
581,125,124,1.5,2.58
576,125,126,2,3.47
581,126,125,2.04,3.51
576,126,127,1.59,2.76
727,127,123,4.1,5.64
581,127,126,2,3.44
1239,127,128,1.24,1
1239,128,127,1.26,1.02
576,128,129,1.32,2.29
663,128,132,2.72,4.1
581,129,128,1.4,2.41
576,129,130,1,1.74
581,130,129,1.01,1.74
576,130,131,1,1.74
581,131,130,1,1.72
576,131,132,1,1.74
658,132,128,2.8,4.26
581,132,131,1,1.72
576,132,133,1.5,2.6
663,132,137,4.59,6.92
581,133,132,1.51,2.6
576,133,134,1.52,2.64
581,134,133,1.54,2.65
576,134,135,1.68,2.92
581,135,134,1.6,2.75
576,135,136,1,1.74
581,136,135,1,1.72
576,136,137,2.45,4.25
658,137,132,4.67,7.1
581,137,136,1.41,2.43
523,137,138,1.51,2.89
716,137,228,1.22,1.7
523,138,137,1.34,2.56
523,138,139,1.51,2.89
523,139,138,1.01,1.93
523,139,142,2.14,4.09
523,142,139,2.54,4.86
420,201,204,1.56,3.71
424,204,201,2,4.72
436,204,205,1.5,3.44
436,205,204,4.2,9.63
436,205,206,1.2,2.75
436,206,205,1.2,2.75
436,206,207,1.22,2.8
436,207,206,1.39,3.19
436,207,208,1.66,3.81
436,208,207,1.6,3.67
436,208,209,1.54,3.53
436,209,208,1.59,3.65
436,209,210,1.23,2.82
436,210,209,1.2,2.75
436,210,211,2.03,4.66
436,211,210,2.03,4.66
436,211,212,2.05,4.7
436,212,211,2.15,4.93
436,212,213,2.03,4.66
2,213,208,8,4000
436,213,212,2.01,4.61
677,213,214,1.66,2.45
33,213,221,12.55,380.3
351,213,505,3.5,9.97
666,214,213,1.69,2.54
677,214,215,2.01,2.97
666,215,214,1.94,2.91
677,215,216,2.2,3.25
666,216,215,2.17,3.26
677,216,217,1.52,2.25
666,217,216,1.52,2.28
677,217,218,1.04,1.54
666,218,217,1.08,1.62
677,218,219,1.44,2.13
666,219,218,1.17,1.76
677,219,220,1.65,2.44
666,220,219,1.57,2.36
677,220,221,2.07,3.06
44,221,213,12.06,274.09
666,221,220,2.12,3.18
710,221,222,2.69,3.79
710,222,221,2.13,3
424,222,224,3.3,7.78
286,222,416,3.27,11.43
424,224,222,3.34,7.88
785,224,225,1.65,2.1
361,224,302,3.27,9.06
785,225,224,1.72,2.19
785,225,226,1.5,1.91
785,226,225,1.5,1.91
785,226,227,1,1.27
785,227,120,4.45,5.67
785,227,226,1,1.27
716,228,137,1.1,1.54
716,228,229,2.48,3.46
716,229,228,2.33,3.25
716,229,230,1.22,1.7
716,230,229,1.09,1.52
716,230,231,4.51,6.3
716,231,230,3.57,4.99
716,231,232,1.13,1.58
716,232,231,1.65,2.3
716,232,233,1.49,2.08
716,233,232,1.5,2.09
716,233,234,1.18,1.65
716,234,233,1.5,2.09
1289,234,235,1.5,1.16
573,234,423,1.74,3.04
1289,235,234,1.65,1.28
822,235,236,1.07,1.3
467,235,239,4.12,8.82
788,236,235,1.2,1.52
822,236,237,1.82,2.21
788,237,236,2.03,2.58
822,237,238,1.64,2
788,238,237,1.89,2.4
822,238,239,1.64,2
501,239,235,4.77,9.52
788,239,238,1.7,2.16
527,239,241,3,5.69
403,239,248,1.51,3.75
359,239,250,3.87,10.78
528,241,239,2.91,5.51
527,241,242,1.25,2.37
528,242,241,1.28,2.42
527,242,243,1.5,2.85
528,243,242,1.58,2.99
527,243,244,4.09,7.76
528,244,243,1.44,2.73
527,244,245,1.51,2.87
528,245,244,1.57,2.97
527,245,246,1.5,2.85
528,246,245,1.23,2.33
527,246,247,2.19,4.16
528,247,246,2.17,4.11
386,248,239,1.7,4.4
403,248,249,1.59,3.95
386,249,248,1.77,4.59
403,249,250,4.2,10.42
375,250,239,3.41,9.09
386,250,249,2.09,5.41
388,250,251,2.65,6.83
391,251,250,3.05,7.8
388,251,252,1.52,3.92
391,252,251,1.56,3.99
388,252,253,1.83,4.72
391,253,252,1.94,4.96
388,253,254,1.02,2.63
391,254,253,1.06,2.71
388,254,255,1.63,4.2
391,255,254,1.64,4.19
388,255,256,1.17,3.02
391,256,255,1,2.56
388,256,257,1.35,3.48
391,257,256,1.5,3.84
358,301,302,1.71,4.78
361,302,224,2.03,5.62
361,302,301,2,5.54
439,401,402,2,4.56
434,402,401,2,4.61
439,402,405,1.71,3.9
434,405,402,1.69,3.89
451,405,406,2.15,4.77
438,406,405,2.15,4.91
452,406,407,1.18,2.61
438,407,406,1.2,2.74
452,407,408,1.16,2.57
438,408,407,1.16,2.65
452,408,409,1.5,3.32
438,409,408,1.5,3.42
452,409,410,1.52,3.36
438,410,409,2.31,5.27
452,410,411,1.18,2.61
438,411,410,1.02,2.33
452,411,412,1.41,3.12
438,412,411,1.34,3.06
452,412,413,1.52,3.36
14,413,409,5,357.14
438,413,412,1.5,3.42
