,Geo_FIPS,year,Geo_NAME,vehicles_per_worker,pct_unemployed,average_commute_time_per_worker_drive_alone,pct_car_wrkr_cmute_01_to_14_min,pct_car_wrkr_cmute_15_to_29_min,pct_car_wrkr_cmute_30_to_44_min,pct_car_wrkr_cmute_44_to_59_min,pct_car_wrkr_cmute_over_60_min,total_workers,land_area,total_population,ln_average_commute_time_per_worker_drive_alone,ln_vehicles_per_worker
1,1003,2014,"Baldwin County, Alabama",0.8866922936115688,8.596502746591382,26.464872557898822,0.2591268442519764,0.34213706631753865,0.19804622589254242,0.09486882521778539,0.07880557933430686,81945,4117583653,191205,3.2758182898023738,-0.12025726372273475
4,1009,2014,"Blount County, Alabama",0.8996930299747201,9.266674756299802,34.11245943276422,0.18780600461893765,0.2084526558891455,0.24808314087759814,0.18549653579676675,0.15219399538106235,22152,1670041814,57645,3.5296626968146723,-0.10570165164395738
6,1013,2014,"Butler County, Alabama",0.9102781768316573,12.184064377195964,25.044061822125812,0.34200053064473335,0.2844255770761475,0.14924383125497478,0.10944547625364819,0.09339347306977978,7657,2011976221,20523,3.2206367464204186,-0.09400503735855383
7,1015,2014,"Calhoun County, Alabama",0.9061928752953765,13.547519928314076,23.095942765258325,0.2943927345020784,0.38245526838966204,0.1790845834086391,0.06404753298391469,0.04945328031809145,44858,1569245771,117186,3.1396569642340064,-0.0985031089568144
15,1031,2014,"Coffee County, Alabama",0.8956319878718969,7.2660212079299225,21.04446665001249,0.3211483160306088,0.4196032558366233,0.1561631817517181,0.04654676609640786,0.03207096554077107,21108,1758565665,50726,3.0466376585900297,-0.11022567820052526
19,1039,2014,"Covington County, Alabama",0.8786596364645484,10.534314023463619,23.996823520720987,0.3955950868276154,0.2981787378229564,0.12332345051531837,0.04673161089933644,0.09176902442467881,14414,2668869603,37881,3.177921468285182,-0.12935767304861073
20,1041,2014,"Crenshaw County, Alabama",0.8776356100198234,10.74564904997605,28.551071155317523,0.25971830985915495,0.2507042253521127,0.2567136150234742,0.0707981220657277,0.14384976525821597,5549,1576887981,13938,3.3516944539732596,-0.13052379424926577
21,1043,2014,"Cullman County, Alabama",0.8945359328664269,8.981079187105816,26.656187954996692,0.29628435040639917,0.3346019868404077,0.12295187717713843,0.09421364985163205,0.12666107599019483,31698,1903376240,80668,3.2830213170924023,-0.1114502059442425
22,1045,2014,"Dale County, Alabama",0.9178377319688586,10.787090782447178,20.538340202513613,0.33889458022342556,0.37665251963510415,0.16771549831699106,0.051807405239279965,0.023659690716620323,20423,1453371192,50013,3.022293393178479,-0.08573466654714548
31,1063,2014,"Greene County, Alabama",0.8206499382969972,25.912518853695328,30.659416936603424,0.13420277660917124,0.31005469078670594,0.1796381994110223,0.20488010096760623,0.08035338662179217,2431,1675993286,8798,3.4229398561918507,-0.19765864499215946
34,1069,2014,"Houston County, Alabama",0.9176609891611258,8.070422243829778,20.90922039692337,0.3195668305352008,0.390409052963547,0.19828865596883405,0.03758927743252018,0.030957239588164362,43916,1501741569,103079,3.040190229001984,-0.08592724941984864
36,1073,2014,"Jefferson County, Alabama",0.9013217224664638,9.937766862947562,23.264331092287645,0.211621768941676,0.44294904897151216,0.225187910606191,0.05584961413776286,0.03303497145480105,283872,2878198172,658834,3.146921333208555,-0.10389301244928745
40,1081,2014,"Lee County, Alabama",0.883280276605791,8.43474094860037,21.772384087521907,0.296406393475791,0.3964017244331004,0.1705445660124819,0.04835571879912222,0.03858185610010428,65653,1573552207,147790,3.0806423817686297,-0.12411271469376559
43,1087,2014,"Macon County, Alabama",0.8881007527504343,18.757988922028122,22.487366230677765,0.32215783664459163,0.271523178807947,0.22033664459161148,0.07588300220750552,0.03835540838852097,6908,1577005108,20505,3.1129536506509656,-0.11867008212155736
44,1089,2014,"Madison County, Alabama",0.907228029593498,9.57684735383191,20.91629581976509,0.24917720868044843,0.49037077033837295,0.17691298981795742,0.03149105214439988,0.021276869279029106,159089,2076115374,343229,3.0405285594542635,-0.09736144966771655
47,1095,2014,"Marshall County, Alabama",0.8691395627107582,9.45894365189179,23.995838117106775,0.3591458274796291,0.3088508007867378,0.14405731947176173,0.09123349255408823,0.0756392245012644,36772,1465522829,94121,3.1778804035231656,-0.14025156510343426
50,1101,2014,"Montgomery County, Alabama",0.9056981143746714,8.923990695365152,19.248991447474584,0.28627278809165413,0.5097842448569995,0.1307597424318448,0.02498327479511624,0.019882087305569493,96997,2031293236,228850,2.957458667022284,-0.09904923555694971
53,1107,2014,"Pickens County, Alabama",0.894283476898982,16.732863549007046,31.571593915343914,0.23324742268041238,0.24130154639175258,0.20135309278350516,0.16752577319587628,0.13079896907216496,6385,2282893925,19629,3.452257789586316,-0.11173246581658373
54,1109,2014,"Pike County, Alabama",0.9088650720420186,9.88630145315255,19.44098446762212,0.4384247015938818,0.309413194196269,0.10599671217211064,0.04860267314702309,0.05010363805303409,14089,1740741440,33216,2.96738343908865,-0.09555863141965106
56,1113,2014,"Russell County, Alabama",0.8857117949612066,12.36212690254991,23.658339862653822,0.208227026543127,0.4286289781119914,0.2427375677006401,0.05425003357056533,0.037330468645091985,22942,1660584296,56980,3.163715689674846,-0.12136366914879475
58,1117,2014,"Shelby County, Alabama",0.8981352601629344,6.237191064861173,29.003586566677534,0.18427134603038733,0.3229616948427135,0.28692488765247165,0.11407019045580997,0.0762572223411085,97708,2033105955,201168,3.3674194970524054,-0.10743459823310218
63,1127,2014,"Walker County, Alabama",0.9011578409671378,13.072557029753082,29.479079589951162,0.26239429969523975,0.3049319654891188,0.16654504871871914,0.10730995407133966,0.13443791046057432,23492,2049182266,66211,3.383680845325972,-0.1040748525134992
64,1129,2014,"Washington County, Alabama",0.880948169113745,19.758902591104338,32.64668133480015,0.237054291345637,0.2831033864898764,0.18742160903063967,0.09424834259093352,0.1754165920086006,5653,2797722215,17137,3.4857432069055365,-0.12675648665659214
70,2050,2014,"Bethel Census Area, Alaska",0.32825322391559203,17.300253434707216,8.811088295687885,0.3210598761183758,0.08155540261527873,0.015485203028217482,0.00034411562284927734,0.0005161734342739161,5971,105075883988,17576,2.176010961908935,-1.1139699443224296
72,2068,2014,"Denali Borough, Alaska",0.7472826086956522,2.740863787375415,20.58872305140962,0.3195991091314031,0.16592427616926503,0.13140311804008908,0.013363028953229399,0.04120267260579064,736,33026406704,2048,3.0247435012150814,-0.2913118405023596
74,2090,2014,"Fairbanks North Star Borough, Alaska",0.8402567191459311,8.170322070737008,18.57625287045792,0.3408513538633125,0.4196666460127641,0.1174587438296466,0.020922403288101285,0.01850589668917942,48146,19006935676,99319,2.9218840376136326,-0.17404781580558476
75,2100,2014,"Haines Borough, Alaska",0.6819894498869631,6.216931216931217,9.97,0.6505162827640985,0.07148530579825259,0.046068308181096106,0.013502779984114376,0.012708498808578236,1327,6009021544,2557,2.299580583973747,-0.3827410906322814
76,2105,2014,"Hoonah-Angoon Census Area, Alaska",0.4319654427645788,13.868003341687551,8.87912087912088,0.3884484711211778,0.10192525481313704,0.02378255945639864,0.0011325028312570782,0.0,926,16966364741,2126,2.1837025520042452,-0.8394096875381974
78,2122,2014,"Kenai Peninsula Borough, Alaska",0.7368356399967243,9.437821824081258,17.609357268131642,0.3852934758891556,0.31162993672267075,0.09893083133318786,0.030067641283002402,0.020074187213615535,24422,41634472271,56687,2.868430423723453,-0.30539042387983606
79,2130,2014,"Ketchikan Gateway Borough, Alaska",0.7326854851149159,8.5305448541552,13.282753515914138,0.48079287031346035,0.2802704363859865,0.0626920712968654,0.002458512599877074,0.004148740012292563,6483,12583288018,13676,2.5864664656215086,-0.3110387481463088
81,2164,2014,"Lake and Peninsula Borough, Alaska",0.27871621621621623,11.944444444444445,5.934065934065934,0.28695652173913044,0.02434782608695652,0.0052173913043478265,0.0,0.0,592,60641390963,1490,1.78070963304147,-1.277561160983425
82,2170,2014,"Matanuska-Susitna Borough, Alaska",0.7772667030482576,10.22706874887812,31.154326630103597,0.21723750239942963,0.2755367866838512,0.10974305536512463,0.12326212740285737,0.17421230153289274,38481,63735012963,93843,3.438953132220757,-0.25197174034396663
84,2185,2014,"North Slope Borough, Alaska",0.5548805184285136,10.341965471447544,8.486286919831224,0.34343210968597965,0.06811145510835913,0.004422821760283061,0.0,0.0033171163202122956,2469,229720513924,9618,2.1384515571714617,-0.5890024705230088
87,2198,2014,"Prince of Wales-Hyder Census Area, Alaska",0.6005477308294209,13.403012603750383,15.070501974055274,0.48801571709233793,0.09901768172888016,0.019646365422396856,0.029076620825147347,0.060903732809430254,2556,13628568286,6356,2.712739321576374,-0.5099131554761279
