fips,county_zip_file_name,roads_length,intersections
1001,tl_2014_01001_roads.zip,2870571.296,5849
1003,tl_2014_01003_roads.zip,7027417.075,19605
1005,tl_2014_01005_roads.zip,2114886.114,3353
1007,tl_2014_01007_roads.zip,2362437.548,5105
1009,tl_2014_01009_roads.zip,2688469.498,4828
1011,tl_2014_01011_roads.zip,1364299.013,1916
1013,tl_2014_01013_roads.zip,2871001.091,4685
1015,tl_2014_01015_roads.zip,4269773.703,14232
1017,tl_2014_01017_roads.zip,3034749.613,6025
1019,tl_2014_01019_roads.zip,2897116.609,7312
1021,tl_2014_01021_roads.zip,2363949.39,3742
1023,tl_2014_01023_roads.zip,2423439.82,3777
1025,tl_2014_01025_roads.zip,3021613.628,5744
1027,tl_2014_01027_roads.zip,2034758.501,2871
1029,tl_2014_01029_roads.zip,1797640.696,2866
1031,tl_2014_01031_roads.zip,2215829.61,3862
1033,tl_2014_01033_roads.zip,2644612.809,8416
1035,tl_2014_01035_roads.zip,3110230.759,5266
1037,tl_2014_01037_roads.zip,2068802.465,3585
1039,tl_2014_01039_roads.zip,4155203.991,7567
1041,tl_2014_01041_roads.zip,1902279.703,2877
1043,tl_2014_01043_roads.zip,3807745.495,7861
1045,tl_2014_01045_roads.zip,2576633.003,7656
1047,tl_2014_01047_roads.zip,4296019.333,9735
1049,tl_2014_01049_roads.zip,4160406.473,8783
1051,tl_2014_01051_roads.zip,3015963.761,6662
1053,tl_2014_01053_roads.zip,3677478.106,6914
1055,tl_2014_01055_roads.zip,3278609.843,8341
1057,tl_2014_01057_roads.zip,1976647.966,3284
1059,tl_2014_01059_roads.zip,2313043.188,5139
1061,tl_2014_01061_roads.zip,2301939.386,4521
1063,tl_2014_01063_roads.zip,1732316.364,2903
1065,tl_2014_01065_roads.zip,1529312.649,1953
1067,tl_2014_01067_roads.zip,2367729.444,3946
1069,tl_2014_01069_roads.zip,3017352.638,6525
1071,tl_2014_01071_roads.zip,2973082.638,5453
1073,tl_2014_01073_roads.zip,11407598.21,50018
1075,tl_2014_01075_roads.zip,2306405.905,3451
1077,tl_2014_01077_roads.zip,4949793.092,12583
1079,tl_2014_01079_roads.zip,2325488.593,3304
1081,tl_2014_01081_roads.zip,4704877.565,17223
1083,tl_2014_01083_roads.zip,3558977.759,7771
1085,tl_2014_01085_roads.zip,1813415.302,3167
1087,tl_2014_01087_roads.zip,1793333.446,3495
1089,tl_2014_01089_roads.zip,7667495.876,41096
1091,tl_2014_01091_roads.zip,2523269.79,3811
1093,tl_2014_01093_roads.zip,2520754.13,4949
1095,tl_2014_01095_roads.zip,3193251.262,6825
1097,tl_2014_01097_roads.zip,11268674.63,59054
1099,tl_2014_01099_roads.zip,2669105.187,4024
1101,tl_2014_01101_roads.zip,3856473.525,10536
1103,tl_2014_01103_roads.zip,3055390.539,6843
1105,tl_2014_01105_roads.zip,1631491.813,2359
1107,tl_2014_01107_roads.zip,2624280.592,3573
1109,tl_2014_01109_roads.zip,2857075.542,6580
1111,tl_2014_01111_roads.zip,2398070.312,4125
1113,tl_2014_01113_roads.zip,2157963.08,5084
1115,tl_2014_01115_roads.zip,3028848.863,8945
1117,tl_2014_01117_roads.zip,4854210.891,13274
1119,tl_2014_01119_roads.zip,1771601.626,2187
1121,tl_2014_01121_roads.zip,4374663.009,11184
1123,tl_2014_01123_roads.zip,2980626.962,6824
1125,tl_2014_01125_roads.zip,6127134.446,18201
1127,tl_2014_01127_roads.zip,3490874.463,9101
1129,tl_2014_01129_roads.zip,2945476.076,5188
1131,tl_2014_01131_roads.zip,1561254.769,2142
1133,tl_2014_01133_roads.zip,2389990.866,4642
2013,tl_2014_02013_roads.zip,187915.3972,503
2016,tl_2014_02016_roads.zip,569936.4064,769
2020,tl_2014_02020_roads.zip,2778748.524,12603
2050,tl_2014_02050_roads.zip,1161768.74,2600
2060,tl_2014_02060_roads.zip,180480.8602,389
2068,tl_2014_02068_roads.zip,1039733.716,1860
2070,tl_2014_02070_roads.zip,343842.0355,735
2090,tl_2014_02090_roads.zip,3668926.726,8659
2100,tl_2014_02100_roads.zip,169735.8371,541
2105,tl_2014_02105_roads.zip,446322.3289,536
2110,tl_2014_02110_roads.zip,436835.627,1207
2122,tl_2014_02122_roads.zip,4331809.703,12165
2130,tl_2014_02130_roads.zip,240629.6317,799
2150,tl_2014_02150_roads.zip,514200.6381,1297
2164,tl_2014_02164_roads.zip,594573.6658,681
2170,tl_2014_02170_roads.zip,6260675.414,16769
2180,tl_2014_02180_roads.zip,2622033.284,1560
2185,tl_2014_02185_roads.zip,728996.2255,808
2188,tl_2014_02188_roads.zip,638718.404,706
2195,tl_2014_02195_roads.zip,483215.5163,433
2198,tl_2014_02198_roads.zip,1219096.426,1981
2220,tl_2014_02220_roads.zip,255119.9693,1244
2230,tl_2014_02230_roads.zip,56007.59365,314
2240,tl_2014_02240_roads.zip,1226001.486,1486
2261,tl_2014_02261_roads.zip,1581117.357,1404
2270,tl_2014_02270_roads.zip,239213.4474,775
2275,tl_2014_02275_roads.zip,218158.561,330
2282,tl_2014_02282_roads.zip,320958.2745,247
2290,tl_2014_02290_roads.zip,4549258.324,2478
4001,tl_2014_04001_roads.zip,34586369.95,95107
4003,tl_2014_04003_roads.zip,14145800.71,28441
4005,tl_2014_04005_roads.zip,38577245.88,82240
4007,tl_2014_04007_roads.zip,7059321.857,17846
