"fips', 'county_zip_file_name', 'roads_length', 'intersections","NA","NA","NA"
"01001","tl_2019_01001_roads.zip","2651987.85073797","4893"
"01003","tl_2019_01003_roads.zip","6846885.45435988","17708"
"01005","tl_2019_01005_roads.zip","2042400.39081077","2950"
"01007","tl_2019_01007_roads.zip","1959665.29118817","3060"
"01009","tl_2019_01009_roads.zip","2623266.74353868","4193"
"01011","tl_2019_01011_roads.zip","1353274.39527331","1694"
"01013","tl_2019_01013_roads.zip","2791857.92468686","4019"
"01015","tl_2019_01015_roads.zip","4123854.73782227","12662"
"01017","tl_2019_01017_roads.zip","3016330.00302306","5604"
"01019","tl_2019_01019_roads.zip","2887123.18393717","6700"
"01021","tl_2019_01021_roads.zip","2351648.93181737","3514"
"01023","tl_2019_01023_roads.zip","2396426.37120144","3334"
"01025","tl_2019_01025_roads.zip","2994413.24535366","4977"
"01027","tl_2019_01027_roads.zip","2033044.04164934","2662"
"01029","tl_2019_01029_roads.zip","1792336.45220379","2631"
"01031","tl_2019_01031_roads.zip","2210609.46295908","3586"
"01033","tl_2019_01033_roads.zip","2612305.13684293","7697"
"01035","tl_2019_01035_roads.zip","3042340.60824048","4286"
"01037","tl_2019_01037_roads.zip","2061224.48331184","3417"
"01039","tl_2019_01039_roads.zip","4128220.90990438","6438"
"01041","tl_2019_01041_roads.zip","1896385.44331914","2663"
"01043","tl_2019_01043_roads.zip","3751870.48109407","7038"
"01045","tl_2019_01045_roads.zip","2540135.94448594","6954"
"01047","tl_2019_01047_roads.zip","4253514.04530707","9270"
"01049","tl_2019_01049_roads.zip","4156999.45804622","8279"
"01051","tl_2019_01051_roads.zip","3019403.68224427","6385"
"01053","tl_2019_01053_roads.zip","3632391.29177312","6534"
"01055","tl_2019_01055_roads.zip","3254917.90079242","7901"
"01057","tl_2019_01057_roads.zip","1961793.54544999","3091"
"01059","tl_2019_01059_roads.zip","2290449.96211213","4742"
"01061","tl_2019_01061_roads.zip","2293719.49039449","3975"
"01063","tl_2019_01063_roads.zip","1696164.23911149","2702"
"01065","tl_2019_01065_roads.zip","1524146.54479126","1900"
"01067","tl_2019_01067_roads.zip","2333950.1682233","3524"
"01069","tl_2019_01069_roads.zip","3017058.89736004","6178"
"01071","tl_2019_01071_roads.zip","2948119.20804085","5067"
"01073","tl_2019_01073_roads.zip","11365672.4052795","47186"
"01075","tl_2019_01075_roads.zip","2297805.69533339","3367"
"01077","tl_2019_01077_roads.zip","4923979.99958846","11642"
"01079","tl_2019_01079_roads.zip","2257012.24101073","2952"
"01081","tl_2019_01081_roads.zip","4713781.71649397","16318"
"01083","tl_2019_01083_roads.zip","3574609.02745975","7420"
"01085","tl_2019_01085_roads.zip","1795059.6864744","2981"
"01087","tl_2019_01087_roads.zip","1757449.36445297","3189"
"01089","tl_2019_01089_roads.zip","7612887.63369387","38228"
"01091","tl_2019_01091_roads.zip","2502585.32894226","3517"
"01093","tl_2019_01093_roads.zip","2482872.80451786","4469"
"01095","tl_2019_01095_roads.zip","3192925.45017623","6444"
"01097","tl_2019_01097_roads.zip","11063777.8565213","54614"
"01099","tl_2019_01099_roads.zip","2646656.61616789","3688"
"01101","tl_2019_01101_roads.zip","3831077.69126601","10151"
"01103","tl_2019_01103_roads.zip","3061208.35938039","6599"
"01105","tl_2019_01105_roads.zip","1595152.75637573","2140"
"01107","tl_2019_01107_roads.zip","2618241.36562748","3197"
"01109","tl_2019_01109_roads.zip","2840662.12134408","5368"
"01111","tl_2019_01111_roads.zip","2336570.32413985","3682"
"01113","tl_2019_01113_roads.zip","2211897.64818353","5079"
"01115","tl_2019_01115_roads.zip","3017713.39780982","8326"
"01117","tl_2019_01117_roads.zip","4826341.79809339","12785"
"01119","tl_2019_01119_roads.zip","1739633.85191658","2019"
"01121","tl_2019_01121_roads.zip","4292572.64038934","10306"
"01123","tl_2019_01123_roads.zip","2960978.11515563","6461"
"01125","tl_2019_01125_roads.zip","6072721.41814534","17272"
"01127","tl_2019_01127_roads.zip","3436819.73955304","8411"
"01129","tl_2019_01129_roads.zip","2926472.5597807","4790"
"01131","tl_2019_01131_roads.zip","1552414.12827279","2021"
"01133","tl_2019_01133_roads.zip","2357123.64482216","4280"
"02013","tl_2019_02013_roads.zip","179990.325380184","362"
"02016","tl_2019_02016_roads.zip","531973.784561795","632"
"02020","tl_2019_02020_roads.zip","2633996.78123467","10987"
"02050","tl_2019_02050_roads.zip","1127657.61389955","2222"
"02060","tl_2019_02060_roads.zip","159068.175860058","320"
"02068","tl_2019_02068_roads.zip","1027244.53700069","1656"
"02070","tl_2019_02070_roads.zip","316280.751484391","514"
"02090","tl_2019_02090_roads.zip","3669298.72950188","7979"
"02100","tl_2019_02100_roads.zip","171706.376819629","475"
"02105","tl_2019_02105_roads.zip","440052.743011066","459"
"02110","tl_2019_02110_roads.zip","434224.826165137","1152"
"02122","tl_2019_02122_roads.zip","4178554.67128516","9861"
"02130","tl_2019_02130_roads.zip","237392.132005295","605"
"02150","tl_2019_02150_roads.zip","392855.410230357","843"
"02158","tl_2019_02158_roads.zip","221414.794103296","575"
"02164","tl_2019_02164_roads.zip","599080.205149722","458"
"02170","tl_2019_02170_roads.zip","6037545.57646688","13483"
"02180","tl_2019_02180_roads.zip","2589342.76566574","1288"
"02185","tl_2019_02185_roads.zip","684943.146857834","710"
"02188","tl_2019_02188_roads.zip","611710.128183796","565"
"02195","tl_2019_02195_roads.zip","522679.454176082","327"
"02198","tl_2019_02198_roads.zip","1304874.67686365","1645"
"02220","tl_2019_02220_roads.zip","250053.354036817","901"
"02230","tl_2019_02230_roads.zip","43086.0243249248","172"
"02240","tl_2019_02240_roads.zip","1036146.83384072","1031"
"02261","tl_2019_02261_roads.zip","1427160.4533637","1220"
"02275","tl_2019_02275_roads.zip","209421.435749278","195"
"02282","tl_2019_02282_roads.zip","282995.852163814","125"
"02290","tl_2019_02290_roads.zip","4364390.57146056","2053"
"04001","tl_2019_04001_roads.zip","33932082.8234754","88489"
"04003","tl_2019_04003_roads.zip","13789565.4605211","24859"
"04005","tl_2019_04005_roads.zip","38366897.4242321","76722"
"04007","tl_2019_04007_roads.zip","6970103.5213776","15073"
"04009","tl_2019_04009_roads.zip","6067971.18167483","9696"
"04011","tl_2019_04011_roads.zip","1521428.93774335","2300"
"04012","tl_2019_04012_roads.zip","5537768.54216416","9888"
"04013","tl_2019_04013_roads.zip","44166126.1915285","186399"
"04015","tl_2019_04015_roads.zip","25510789.5796655","55326"
"04017","tl_2019_04017_roads.zip","26401458.5951892","72323"
"04019","tl_2019_04019_roads.zip","22959771.8508346","63471"
"04021","tl_2019_04021_roads.zip","16955842.0682077","50126"
"04023","tl_2019_04023_roads.zip","3471814.12409987","9439"
"04025","tl_2019_04025_roads.zip","17421185.4878813","43601"
"04027","tl_2019_04027_roads.zip","8402505.68757909","23111"
"05001","tl_2019_05001_roads.zip","2779479.278024","4684"
"05003","tl_2019_05003_roads.zip","3251734.6698523","4309"
"05005","tl_2019_05005_roads.zip","2770192.42657059","8760"
"05007","tl_2019_05007_roads.zip","7774709.30262786","23732"
"05009","tl_2019_05009_roads.zip","2409514.48458797","4532"
"05011","tl_2019_05011_roads.zip","2547582.44927204","3075"
"05013","tl_2019_05013_roads.zip","2254691.66467773","3695"
"05015","tl_2019_05015_roads.zip","2443772.90915184","4398"
"05017","tl_2019_05017_roads.zip","2230789.39641013","3127"
"05019","tl_2019_05019_roads.zip","3683131.02850799","6216"
"05021","tl_2019_05021_roads.zip","1817686.9846523","2697"
"05023","tl_2019_05023_roads.zip","2019797.69694823","3976"
"05025","tl_2019_05025_roads.zip","1341245.24354818","1608"
"05027","tl_2019_05027_roads.zip","1870589.32566037","2520"
"05029","tl_2019_05029_roads.zip","2028212.38645053","2954"
"05031","tl_2019_05031_roads.zip","4838335.88547748","10297"
"05033","tl_2019_05033_roads.zip","2306547.02396971","4466"
"05035","tl_2019_05035_roads.zip","2297970.27747409","4329"
"05037","tl_2019_05037_roads.zip","2038366.45960633","3372"
"05039","tl_2019_05039_roads.zip","1659464.27321396","2192"
"05041","tl_2019_05041_roads.zip","1756118.29675716","2758"
"05043","tl_2019_05043_roads.zip","3307314.84458375","5717"
"05045","tl_2019_05045_roads.zip","2856355.73450215","6468"
"05047","tl_2019_05047_roads.zip","2822404.78512258","5786"
"05049","tl_2019_05049_roads.zip","3042111.77786583","5794"
"05051","tl_2019_05051_roads.zip","4273893.6066063","10463"
"05053","tl_2019_05053_roads.zip","3964231.09304641","7427"
"05055","tl_2019_05055_roads.zip","2984134.86973405","5567"
"05057","tl_2019_05057_roads.zip","3141587.03812542","5397"
"05059","tl_2019_05059_roads.zip","3064927.30334896","7929"
"05061","tl_2019_05061_roads.zip","2089056.12508293","2587"
"05063","tl_2019_05063_roads.zip","2171377.76568911","3864"
"05065","tl_2019_05065_roads.zip","2321551.59707393","5187"
"05067","tl_2019_05067_roads.zip","1662276.87316772","2971"
"05069","tl_2019_05069_roads.zip","3441997.43452503","7971"
"05071","tl_2019_05071_roads.zip","2917716.61783084","5052"
"05073","tl_2019_05073_roads.zip","1391300.84454367","1985"
"05075","tl_2019_05075_roads.zip","2324632.02025984","5120"
"05077","tl_2019_05077_roads.zip","1545553.27661806","2062"
"05079","tl_2019_05079_roads.zip","1802872.71869536","2614"
"05081","tl_2019_05081_roads.zip","1987875.88204169","3022"
"05083","tl_2019_05083_roads.zip","1659016.14452996","1920"
"05085","tl_2019_05085_roads.zip","3842216.13546959","8182"
"05087","tl_2019_05087_roads.zip","4686960.63271989","7391"
"05089","tl_2019_05089_roads.zip","3402649.4953898","8952"
"05091","tl_2019_05091_roads.zip","2207173.1341855","5158"
"05093","tl_2019_05093_roads.zip","3096076.47770269","5969"
"05095","tl_2019_05095_roads.zip","1103369.56034754","1731"
"05097","tl_2019_05097_roads.zip","2065726.01827592","2870"
"05099","tl_2019_05099_roads.zip","2101421.27568161","2234"
"05101","tl_2019_05101_roads.zip","1679442.08987815","1518"
"05103","tl_2019_05103_roads.zip","2398019.67484375","5364"
"05105","tl_2019_05105_roads.zip","2401297.22311832","3855"
"05107","tl_2019_05107_roads.zip","1880431.18901296","3034"
"05109","tl_2019_05109_roads.zip","3021679.59560729","4448"
"05111","tl_2019_05111_roads.zip","3205913.82021269","4822"
"05113","tl_2019_05113_roads.zip","2969813.0934303","3818"
"05115","tl_2019_05115_roads.zip","3028366.62010733","5943"
"05117","tl_2019_05117_roads.zip","2255335.5939041","3847"
"05119","tl_2019_05119_roads.zip","5610964.19569353","20181"
"05121","tl_2019_05121_roads.zip","2111722.56486759","3339"
"05123","tl_2019_05123_roads.zip","2320477.63178227","4920"
"05125","tl_2019_05125_roads.zip","3617136.52245067","8569"
"05127","tl_2019_05127_roads.zip","3198588.12178076","2766"
"05129","tl_2019_05129_roads.zip","2917971.46242728","4764"
"05131","tl_2019_05131_roads.zip","2857076.54969967","7704"
"05133","tl_2019_05133_roads.zip","1875115.11082918","2974"
"05135","tl_2019_05135_roads.zip","2527563.58446458","6897"
"05137","tl_2019_05137_roads.zip","2280413.20755526","3551"
"05139","tl_2019_05139_roads.zip","3486602.66519306","8993"
"05141","tl_2019_05141_roads.zip","2981818.40150178","4595"
"05143","tl_2019_05143_roads.zip","7392437.41998037","21593"
"05145","tl_2019_05145_roads.zip","3667923.30389259","7153"
"05147","tl_2019_05147_roads.zip","1499727.86234127","2226"
"05149","tl_2019_05149_roads.zip","2489218.20816157","3591"
"06001","tl_2019_06001_roads.zip","9180923.31400735","48407"
"06003","tl_2019_06003_roads.zip","505001.562177762","798"
"06005","tl_2019_06005_roads.zip","2183590.14655057","3970"
"06007","tl_2019_06007_roads.zip","6916428.86509101","12989"
"06009","tl_2019_06009_roads.zip","4526200.63416138","7401"
"06011","tl_2019_06011_roads.zip","2969357.24633059","3380"
"06013","tl_2019_06013_roads.zip","9931958.7706937","47591"
"06015","tl_2019_06015_roads.zip","3330584.12084258","5056"
"06017","tl_2019_06017_roads.zip","7006731.30701289","13984"
"06019","tl_2019_06019_roads.zip","20951134.9345591","54800"
"06021","tl_2019_06021_roads.zip","4358586.71826548","6055"
"06023","tl_2019_06023_roads.zip","11928732.0230202","19693"
"06025","tl_2019_06025_roads.zip","8892683.14365442","16378"
"06027","tl_2019_06027_roads.zip","8990490.94951232","13207"
"06029","tl_2019_06029_roads.zip","34874100.9237552","89409"
"06031","tl_2019_06031_roads.zip","6484131.11922349","13594"
"06033","tl_2019_06033_roads.zip","6952571.95483941","14408"
"06035","tl_2019_06035_roads.zip","11360960.5797903","17106"
"06037","tl_2019_06037_roads.zip","47570616.0965906","210929"
"06039","tl_2019_06039_roads.zip","7607128.42239307","14122"
"06041","tl_2019_06041_roads.zip","3258269.78521003","11675"
"06043","tl_2019_06043_roads.zip","3505606.92398868","5584"
"06045","tl_2019_06045_roads.zip","12076293.7236695","17464"
"06047","tl_2019_06047_roads.zip","7541335.42665772","13916"
"06049","tl_2019_06049_roads.zip","9966596.66489135","12966"
"06051","tl_2019_06051_roads.zip","4304544.16805139","8046"
"06053","tl_2019_06053_roads.zip","12475228.4129271","27653"
"06055","tl_2019_06055_roads.zip","1765784.89820112","4227"
"06057","tl_2019_06057_roads.zip","5950098.82746697","13096"
"06059","tl_2019_06059_roads.zip","15169710.055895","89901"
"06061","tl_2019_06061_roads.zip","7485848.25575097","22583"
"06063","tl_2019_06063_roads.zip","9054362.47814606","16385"
"06065","tl_2019_06065_roads.zip","26983388.8530523","93539"
"06067","tl_2019_06067_roads.zip","9627210.15681771","42305"
"06069","tl_2019_06069_roads.zip","3723119.41258416","7034"
"06071","tl_2019_06071_roads.zip","47609560.723206","125705"
"06073","tl_2019_06073_roads.zip","21558549.3682372","74648"
"06075","tl_2019_06075_roads.zip","1867948.89446085","10376"
"06077","tl_2019_06077_roads.zip","7150092.21138905","23872"
"06079","tl_2019_06079_roads.zip","12013679.9594006","25182"
"06081","tl_2019_06081_roads.zip","4015744.7433789","17389"
"06083","tl_2019_06083_roads.zip","7912398.83304484","21488"
"06085","tl_2019_06085_roads.zip","10884391.2687524","55119"
"06087","tl_2019_06087_roads.zip","3635201.48314152","13523"
"06089","tl_2019_06089_roads.zip","12089992.5842628","20772"
"06091","tl_2019_06091_roads.zip","3607781.36574627","4749"
"06093","tl_2019_06093_roads.zip","19749389.5123613","25097"
"06095","tl_2019_06095_roads.zip","5883091.63972925","20754"
"06097","tl_2019_06097_roads.zip","9169230.5500051","29151"
