fips,county_zip_file_name,roads_length,intersections
1001,tl_2019_01001_roads.zip,2651987.851,4893
1003,tl_2019_01003_roads.zip,6846885.454,17708
1005,tl_2019_01005_roads.zip,2042400.391,2950
1007,tl_2019_01007_roads.zip,1959665.291,3060
1009,tl_2019_01009_roads.zip,2623266.744,4193
1011,tl_2019_01011_roads.zip,1353274.395,1694
1013,tl_2019_01013_roads.zip,2791857.925,4019
1015,tl_2019_01015_roads.zip,4123854.738,12662
1017,tl_2019_01017_roads.zip,3016330.003,5604
1019,tl_2019_01019_roads.zip,2887123.184,6700
1021,tl_2019_01021_roads.zip,2351648.932,3514
1023,tl_2019_01023_roads.zip,2396426.371,3334
1025,tl_2019_01025_roads.zip,2994413.245,4977
1027,tl_2019_01027_roads.zip,2033044.042,2662
1029,tl_2019_01029_roads.zip,1792336.452,2631
1031,tl_2019_01031_roads.zip,2210609.463,3586
1033,tl_2019_01033_roads.zip,2612305.137,7697
1035,tl_2019_01035_roads.zip,3042340.608,4286
1037,tl_2019_01037_roads.zip,2061224.483,3417
1039,tl_2019_01039_roads.zip,4128220.91,6438
1041,tl_2019_01041_roads.zip,1896385.443,2663
1043,tl_2019_01043_roads.zip,3751870.481,7038
1045,tl_2019_01045_roads.zip,2540135.944,6954
1047,tl_2019_01047_roads.zip,4253514.045,9270
1049,tl_2019_01049_roads.zip,4156999.458,8279
1051,tl_2019_01051_roads.zip,3019403.682,6385
1053,tl_2019_01053_roads.zip,3632391.292,6534
1055,tl_2019_01055_roads.zip,3254917.901,7901
1057,tl_2019_01057_roads.zip,1961793.545,3091
1059,tl_2019_01059_roads.zip,2290449.962,4742
1061,tl_2019_01061_roads.zip,2293719.49,3975
1063,tl_2019_01063_roads.zip,1696164.239,2702
1065,tl_2019_01065_roads.zip,1524146.545,1900
1067,tl_2019_01067_roads.zip,2333950.168,3524
1069,tl_2019_01069_roads.zip,3017058.897,6178
1071,tl_2019_01071_roads.zip,2948119.208,5067
1073,tl_2019_01073_roads.zip,11365672.41,47186
1075,tl_2019_01075_roads.zip,2297805.695,3367
1077,tl_2019_01077_roads.zip,4923980,11642
1079,tl_2019_01079_roads.zip,2257012.241,2952
1081,tl_2019_01081_roads.zip,4713781.716,16318
1083,tl_2019_01083_roads.zip,3574609.027,7420
1085,tl_2019_01085_roads.zip,1795059.686,2981
1087,tl_2019_01087_roads.zip,1757449.364,3189
1089,tl_2019_01089_roads.zip,7612887.634,38228
1091,tl_2019_01091_roads.zip,2502585.329,3517
1093,tl_2019_01093_roads.zip,2482872.805,4469
1095,tl_2019_01095_roads.zip,3192925.45,6444
1097,tl_2019_01097_roads.zip,11063777.86,54614
1099,tl_2019_01099_roads.zip,2646656.616,3688
1101,tl_2019_01101_roads.zip,3831077.691,10151
1103,tl_2019_01103_roads.zip,3061208.359,6599
1105,tl_2019_01105_roads.zip,1595152.756,2140
1107,tl_2019_01107_roads.zip,2618241.366,3197
1109,tl_2019_01109_roads.zip,2840662.121,5368
1111,tl_2019_01111_roads.zip,2336570.324,3682
1113,tl_2019_01113_roads.zip,2211897.648,5079
1115,tl_2019_01115_roads.zip,3017713.398,8326
1117,tl_2019_01117_roads.zip,4826341.798,12785
1119,tl_2019_01119_roads.zip,1739633.852,2019
1121,tl_2019_01121_roads.zip,4292572.64,10306
1123,tl_2019_01123_roads.zip,2960978.115,6461
1125,tl_2019_01125_roads.zip,6072721.418,17272
1127,tl_2019_01127_roads.zip,3436819.74,8411
1129,tl_2019_01129_roads.zip,2926472.56,4790
1131,tl_2019_01131_roads.zip,1552414.128,2021
1133,tl_2019_01133_roads.zip,2357123.645,4280
2013,tl_2019_02013_roads.zip,179990.3254,362
2016,tl_2019_02016_roads.zip,531973.7846,632
2020,tl_2019_02020_roads.zip,2633996.781,10987
2050,tl_2019_02050_roads.zip,1127657.614,2222
2060,tl_2019_02060_roads.zip,159068.1759,320
2068,tl_2019_02068_roads.zip,1027244.537,1656
2070,tl_2019_02070_roads.zip,316280.7515,514
2090,tl_2019_02090_roads.zip,3669298.73,7979
2100,tl_2019_02100_roads.zip,171706.3768,475
2105,tl_2019_02105_roads.zip,440052.743,459
2110,tl_2019_02110_roads.zip,434224.8262,1152
2122,tl_2019_02122_roads.zip,4178554.671,9861
2130,tl_2019_02130_roads.zip,237392.132,605
2150,tl_2019_02150_roads.zip,392855.4102,843
2158,tl_2019_02158_roads.zip,221414.7941,575
2164,tl_2019_02164_roads.zip,599080.2051,458
2170,tl_2019_02170_roads.zip,6037545.576,13483
2180,tl_2019_02180_roads.zip,2589342.766,1288
2185,tl_2019_02185_roads.zip,684943.1469,710
2188,tl_2019_02188_roads.zip,611710.1282,565
2195,tl_2019_02195_roads.zip,522679.4542,327
2198,tl_2019_02198_roads.zip,1304874.677,1645
2220,tl_2019_02220_roads.zip,250053.354,901
2230,tl_2019_02230_roads.zip,43086.02432,172
2240,tl_2019_02240_roads.zip,1036146.834,1031
2261,tl_2019_02261_roads.zip,1427160.453,1220
2275,tl_2019_02275_roads.zip,209421.4357,195
2282,tl_2019_02282_roads.zip,282995.8522,125
2290,tl_2019_02290_roads.zip,4364390.571,2053
4001,tl_2019_04001_roads.zip,33932082.82,88489
4003,tl_2019_04003_roads.zip,13789565.46,24859
4005,tl_2019_04005_roads.zip,38366897.42,76722
4007,tl_2019_04007_roads.zip,6970103.521,15073
4009,tl_2019_04009_roads.zip,6067971.182,9696
4011,tl_2019_04011_roads.zip,1521428.938,2300
4012,tl_2019_04012_roads.zip,5537768.542,9888
4013,tl_2019_04013_roads.zip,44166126.19,186399
4015,tl_2019_04015_roads.zip,25510789.58,55326
4017,tl_2019_04017_roads.zip,26401458.6,72323
4019,tl_2019_04019_roads.zip,22959771.85,63471
4021,tl_2019_04021_roads.zip,16955842.07,50126
4023,tl_2019_04023_roads.zip,3471814.124,9439
4025,tl_2019_04025_roads.zip,17421185.49,43601
4027,tl_2019_04027_roads.zip,8402505.688,23111
5001,tl_2019_05001_roads.zip,2779479.278,4684
5003,tl_2019_05003_roads.zip,3251734.67,4309
5005,tl_2019_05005_roads.zip,2770192.427,8760
5007,tl_2019_05007_roads.zip,7774709.303,23732
5009,tl_2019_05009_roads.zip,2409514.485,4532
5011,tl_2019_05011_roads.zip,2547582.449,3075
5013,tl_2019_05013_roads.zip,2254691.665,3695
5015,tl_2019_05015_roads.zip,2443772.909,4398
5017,tl_2019_05017_roads.zip,2230789.396,3127
5019,tl_2019_05019_roads.zip,3683131.029,6216
5021,tl_2019_05021_roads.zip,1817686.985,2697
5023,tl_2019_05023_roads.zip,2019797.697,3976
5025,tl_2019_05025_roads.zip,1341245.244,1608
5027,tl_2019_05027_roads.zip,1870589.326,2520
5029,tl_2019_05029_roads.zip,2028212.386,2954
5031,tl_2019_05031_roads.zip,4838335.885,10297
5033,tl_2019_05033_roads.zip,2306547.024,4466
5035,tl_2019_05035_roads.zip,2297970.277,4329
5037,tl_2019_05037_roads.zip,2038366.46,3372
5039,tl_2019_05039_roads.zip,1659464.273,2192
5041,tl_2019_05041_roads.zip,1756118.297,2758
5043,tl_2019_05043_roads.zip,3307314.845,5717
5045,tl_2019_05045_roads.zip,2856355.735,6468
5047,tl_2019_05047_roads.zip,2822404.785,5786
5049,tl_2019_05049_roads.zip,3042111.778,5794
5051,tl_2019_05051_roads.zip,4273893.607,10463
5053,tl_2019_05053_roads.zip,3964231.093,7427
5055,tl_2019_05055_roads.zip,2984134.87,5567
5057,tl_2019_05057_roads.zip,3141587.038,5397
5059,tl_2019_05059_roads.zip,3064927.303,7929
5061,tl_2019_05061_roads.zip,2089056.125,2587
5063,tl_2019_05063_roads.zip,2171377.766,3864
5065,tl_2019_05065_roads.zip,2321551.597,5187
5067,tl_2019_05067_roads.zip,1662276.873,2971
5069,tl_2019_05069_roads.zip,3441997.435,7971
5071,tl_2019_05071_roads.zip,2917716.618,5052
5073,tl_2019_05073_roads.zip,1391300.845,1985
5075,tl_2019_05075_roads.zip,2324632.02,5120
5077,tl_2019_05077_roads.zip,1545553.277,2062
5079,tl_2019_05079_roads.zip,1802872.719,2614
5081,tl_2019_05081_roads.zip,1987875.882,3022
5083,tl_2019_05083_roads.zip,1659016.145,1920
5085,tl_2019_05085_roads.zip,3842216.135,8182
5087,tl_2019_05087_roads.zip,4686960.633,7391
5089,tl_2019_05089_roads.zip,3402649.495,8952
5091,tl_2019_05091_roads.zip,2207173.134,5158
5093,tl_2019_05093_roads.zip,3096076.478,5969
5095,tl_2019_05095_roads.zip,1103369.56,1731
5097,tl_2019_05097_roads.zip,2065726.018,2870
5099,tl_2019_05099_roads.zip,2101421.276,2234
5101,tl_2019_05101_roads.zip,1679442.09,1518
5103,tl_2019_05103_roads.zip,2398019.675,5364
5105,tl_2019_05105_roads.zip,2401297.223,3855
5107,tl_2019_05107_roads.zip,1880431.189,3034
5109,tl_2019_05109_roads.zip,3021679.596,4448
5111,tl_2019_05111_roads.zip,3205913.82,4822
5113,tl_2019_05113_roads.zip,2969813.093,3818
5115,tl_2019_05115_roads.zip,3028366.62,5943
5117,tl_2019_05117_roads.zip,2255335.594,3847
5119,tl_2019_05119_roads.zip,5610964.196,20181
5121,tl_2019_05121_roads.zip,2111722.565,3339
5123,tl_2019_05123_roads.zip,2320477.632,4920
5125,tl_2019_05125_roads.zip,3617136.522,8569
5127,tl_2019_05127_roads.zip,3198588.122,2766
5129,tl_2019_05129_roads.zip,2917971.462,4764
5131,tl_2019_05131_roads.zip,2857076.55,7704
5133,tl_2019_05133_roads.zip,1875115.111,2974
5135,tl_2019_05135_roads.zip,2527563.584,6897
5137,tl_2019_05137_roads.zip,2280413.208,3551
5139,tl_2019_05139_roads.zip,3486602.665,8993
5141,tl_2019_05141_roads.zip,2981818.402,4595
5143,tl_2019_05143_roads.zip,7392437.42,21593
5145,tl_2019_05145_roads.zip,3667923.304,7153
5147,tl_2019_05147_roads.zip,1499727.862,2226
5149,tl_2019_05149_roads.zip,2489218.208,3591
6001,tl_2019_06001_roads.zip,9180923.314,48407
6003,tl_2019_06003_roads.zip,505001.5622,798
6005,tl_2019_06005_roads.zip,2183590.147,3970
6007,tl_2019_06007_roads.zip,6916428.865,12989
6009,tl_2019_06009_roads.zip,4526200.634,7401
6011,tl_2019_06011_roads.zip,2969357.246,3380
6013,tl_2019_06013_roads.zip,9931958.771,47591
6015,tl_2019_06015_roads.zip,3330584.121,5056
6017,tl_2019_06017_roads.zip,7006731.307,13984
6019,tl_2019_06019_roads.zip,20951134.93,54800
6021,tl_2019_06021_roads.zip,4358586.718,6055
6023,tl_2019_06023_roads.zip,11928732.02,19693
6025,tl_2019_06025_roads.zip,8892683.144,16378
6027,tl_2019_06027_roads.zip,8990490.95,13207
6029,tl_2019_06029_roads.zip,34874100.92,89409
6031,tl_2019_06031_roads.zip,6484131.119,13594
6033,tl_2019_06033_roads.zip,6952571.955,14408
6035,tl_2019_06035_roads.zip,11360960.58,17106
6037,tl_2019_06037_roads.zip,47570616.1,210929
6039,tl_2019_06039_roads.zip,7607128.422,14122
6041,tl_2019_06041_roads.zip,3258269.785,11675
6043,tl_2019_06043_roads.zip,3505606.924,5584
6045,tl_2019_06045_roads.zip,12076293.72,17464
6047,tl_2019_06047_roads.zip,7541335.427,13916
6049,tl_2019_06049_roads.zip,9966596.665,12966
6051,tl_2019_06051_roads.zip,4304544.168,8046
6053,tl_2019_06053_roads.zip,12475228.41,27653
6055,tl_2019_06055_roads.zip,1765784.898,4227
6057,tl_2019_06057_roads.zip,5950098.827,13096
6059,tl_2019_06059_roads.zip,15169710.06,89901
6061,tl_2019_06061_roads.zip,7485848.256,22583
6063,tl_2019_06063_roads.zip,9054362.478,16385
6065,tl_2019_06065_roads.zip,26983388.85,93539
6067,tl_2019_06067_roads.zip,9627210.157,42305
6069,tl_2019_06069_roads.zip,3723119.413,7034
6071,tl_2019_06071_roads.zip,47609560.72,125705
6073,tl_2019_06073_roads.zip,21558549.37,74648
6075,tl_2019_06075_roads.zip,1867948.894,10376
6077,tl_2019_06077_roads.zip,7150092.211,23872
6079,tl_2019_06079_roads.zip,12013679.96,25182
6081,tl_2019_06081_roads.zip,4015744.743,17389
6083,tl_2019_06083_roads.zip,7912398.833,21488
6085,tl_2019_06085_roads.zip,10884391.27,55119
6087,tl_2019_06087_roads.zip,3635201.483,13523
6089,tl_2019_06089_roads.zip,12089992.58,20772
6091,tl_2019_06091_roads.zip,3607781.366,4749
6093,tl_2019_06093_roads.zip,19749389.51,25097
6095,tl_2019_06095_roads.zip,5883091.64,20754
6097,tl_2019_06097_roads.zip,9169230.55,29151
6099,tl_2019_06099_roads.zip,5387376.572,16049
6101,tl_2019_06101_roads.zip,2371689.893,4260
6103,tl_2019_06103_roads.zip,9282478.003,13575
6105,tl_2019_06105_roads.zip,7134393.623,7276
6107,tl_2019_06107_roads.zip,14338525.48,32669
6109,tl_2019_06109_roads.zip,6052856.681,10092
6111,tl_2019_06111_roads.zip,9058668.691,30817
6113,tl_2019_06113_roads.zip,3258842.775,7739
6115,tl_2019_06115_roads.zip,3176999.327,7651
8001,tl_2019_08001_roads.zip,6497885.54,18572
8003,tl_2019_08003_roads.zip,2172612.957,2686
8005,tl_2019_08005_roads.zip,5506267.154,21937
8007,tl_2019_08007_roads.zip,2745150.022,3386
8009,tl_2019_08009_roads.zip,3708690.312,2471
8011,tl_2019_08011_roads.zip,1822851.296,1583
8013,tl_2019_08013_roads.zip,4051667.331,14075
8014,tl_2019_08014_roads.zip,564247.4619,2881
8015,tl_2019_08015_roads.zip,2005913.702,3949
8017,tl_2019_08017_roads.zip,1935431.99,945
8019,tl_2019_08019_roads.zip,1529842.309,3675
8021,tl_2019_08021_roads.zip,2047222.35,2518
8023,tl_2019_08023_roads.zip,6091805.329,12659
8025,tl_2019_08025_roads.zip,1218109.999,1064
8027,tl_2019_08027_roads.zip,2077280.436,3583
8029,tl_2019_08029_roads.zip,2182048.711,2982
8031,tl_2019_08031_roads.zip,3502832.126,18039
8033,tl_2019_08033_roads.zip,1847502.798,2080
8035,tl_2019_08035_roads.zip,5293109.406,18903
8037,tl_2019_08037_roads.zip,4291617.473,5708
8039,tl_2019_08039_roads.zip,3631110.137,3670
8041,tl_2019_08041_roads.zip,11806238.25,48253
8043,tl_2019_08043_roads.zip,3606511.35,8846
8045,tl_2019_08045_roads.zip,5926108.93,11500
8047,tl_2019_08047_roads.zip,790953.024,2399
8049,tl_2019_08049_roads.zip,3675433.937,7583
8051,tl_2019_08051_roads.zip,5647348.989,9487
8053,tl_2019_08053_roads.zip,731032.1471,1171
8055,tl_2019_08055_roads.zip,3178816.142,6027
8057,tl_2019_08057_roads.zip,3702325.79,4924
8059,tl_2019_08059_roads.zip,6407535.244,24057
8061,tl_2019_08061_roads.zip,2038243.147,885
8063,tl_2019_08063_roads.zip,3920200.792,2250
8065,tl_2019_08065_roads.zip,869869.5125,1992
8067,tl_2019_08067_roads.zip,4094405.123,7027
8069,tl_2019_08069_roads.zip,9910364.411,24464
8071,tl_2019_08071_roads.zip,5429129.858,7538
8073,tl_2019_08073_roads.zip,3019686.191,2087
8075,tl_2019_08075_roads.zip,3710608.388,3652
8077,tl_2019_08077_roads.zip,6139883.428,11353
8079,tl_2019_08079_roads.zip,819210.4856,1145
8081,tl_2019_08081_roads.zip,5946973.256,6461
8083,tl_2019_08083_roads.zip,4118677.063,7357
8085,tl_2019_08085_roads.zip,4164442.509,6043
8087,tl_2019_08087_roads.zip,3100779.664,3967
8089,tl_2019_08089_roads.zip,2378690.87,4490
8091,tl_2019_08091_roads.zip,1126122.04,2409
8093,tl_2019_08093_roads.zip,5610200.532,7078
8095,tl_2019_08095_roads.zip,1649580.356,1018
8097,tl_2019_08097_roads.zip,1348158.725,2382
8099,tl_2019_08099_roads.zip,3235772.165,3002
8101,tl_2019_08101_roads.zip,7406618.275,15923
8103,tl_2019_08103_roads.zip,4838947.933,4682
8105,tl_2019_08105_roads.zip,2101281.468,2941
8107,tl_2019_08107_roads.zip,4018506.85,6791
8109,tl_2019_08109_roads.zip,4513177.284,4757
8111,tl_2019_08111_roads.zip,521008.2177,590
8113,tl_2019_08113_roads.zip,3157894.39,3620
8115,tl_2019_08115_roads.zip,1245095.625,752
8117,tl_2019_08117_roads.zip,1984953.811,6545
8119,tl_2019_08119_roads.zip,2537947.551,6773
8121,tl_2019_08121_roads.zip,4190360.788,1781
8123,tl_2019_08123_roads.zip,9431226.818,17452
8125,tl_2019_08125_roads.zip,4722545.118,5296
9001,tl_2019_09001_roads.zip,7809689.879,29745
9003,tl_2019_09003_roads.zip,7309760.004,25064
